Date,NAAIM Number
10/1/2025,80.66
9/24/2025,86.24
9/17/2025,84.76
9/10/2025,86.11
9/3/2025,81.58
8/27/2025,92.94
8/20/2025,98.15
8/13/2025,85.66
8/6/2025,96.26
7/30/2025,76.85
7/23/2025,81.07
7/16/2025,83.69
7/9/2025,86.28
7/2/2025,99.3
6/25/2025,81.41
6/18/2025,94.09
6/11/2025,82.66
6/4/2025,81.62
5/28/2025,88.41
5/21/2025,80.87
5/14/2025,70.56
5/7/2025,81.06
4/30/2025,59.92
4/23/2025,40.67
4/16/2025,35.16
4/9/2025,56.96
4/2/2025,49.37
3/26/2025,57.55
3/19/2025,64.64
3/12/2025,68.8
3/5/2025,74.96
2/26/2025,87.87
2/19/2025,91.48
2/12/2025,75.62
2/5/2025,84.91
1/29/2025,68.28
1/22/2025,86.08
1/15/2025,70.21
1/8/2025,65.38
1/1/2025,64.1
12/25/2024,80.39
12/18/2024,82.5
12/11/2024,99.24
12/4/2024,85.49
11/27/2024,98.93
11/20/2024,91.33
11/13/2024,91.6
11/6/2024,88.31
10/30/2024,82.53
10/23/2024,79.13
10/16/2024,81.68
10/9/2024,90.26
10/2/2024,86.93
9/25/2024,86.64
9/18/2024,87.46
9/11/2024,71.93
9/4/2024,70.65
8/28/2024,81.34
8/21/2024,74.68
8/14/2024,56.57
8/7/2024,75.33
7/31/2024,83.93
7/24/2024,76.7
7/17/2024,87.94
7/10/2024,93.84
7/3/2024,103.66
6/26/2024,85.44
6/19/2024,85.26
6/12/2024,86.3
6/5/2024,68.65
5/29/2024,92.21
5/22/2024,94.45
5/15/2024,89.25
5/8/2024,91.55
5/1/2024,61.97
4/24/2024,59.48
4/17/2024,62.98
4/10/2024,81.92
4/3/2024,84.24
3/27/2024,103.88
3/20/2024,93.22
3/13/2024,104.75
3/6/2024,93.99
2/28/2024,88.99
2/21/2024,74.7
2/14/2024,95.58
2/7/2024,93.77
1/31/2024,87.36
1/24/2024,84.13
1/17/2024,53.54
1/10/2024,80.18
1/3/2024,70.95
12/27/2023,102.71
12/20/2023,97.32
12/13/2023,77.97
12/6/2023,76.09
11/29/2023,81.38
11/22/2023,77.95
11/15/2023,72.06
11/8/2023,61.76
11/1/2023,29.17
10/25/2023,24.82
10/18/2023,66.67
10/11/2023,45.8
10/4/2023,36.21
9/27/2023,43.01
9/20/2023,54.33
9/13/2023,57.98
9/6/2023,49.73
8/30/2023,61.19
8/23/2023,34.36
8/16/2023,59.87
8/9/2023,65.49
8/2/2023,78.46
7/26/2023,101.82
7/19/2023,99.05
7/12/2023,93.34
7/5/2023,83.11
6/28/2023,75.93
6/21/2023,83.6
6/14/2023,81.66
6/7/2023,90.07
5/31/2023,53.92
5/24/2023,65.51
5/17/2023,59
5/10/2023,65.22
5/3/2023,67.01
4/26/2023,50.81
4/19/2023,78.26
4/12/2023,58.71
4/5/2023,72.89
3/29/2023,65.15
3/22/2023,53.21
3/15/2023,41.92
3/8/2023,60.11
3/1/2023,47.41
2/22/2023,57.09
2/15/2023,81.43
2/8/2023,85.4
2/1/2023,78.37
1/25/2023,75.23
1/18/2023,65.07
1/11/2023,45.31
1/4/2023,38.79
12/28/2022,43.48
12/21/2022,39.35
12/14/2022,71.6
12/7/2022,55.69
11/30/2022,64.36
11/23/2022,60.29
11/16/2022,64.96
11/9/2022,53.33
11/2/2022,55.22
10/26/2022,53.91
10/19/2022,43.28
10/12/2022,19.84
10/5/2022,38.11
9/28/2022,12.61
9/21/2022,29.59
9/14/2022,33.86
9/7/2022,27.33
8/31/2022,32.36
8/24/2022,54.86
8/17/2022,64.44
8/10/2022,71.59
8/3/2022,55.28
7/27/2022,47.21
7/20/2022,44.48
7/13/2022,26.74
7/6/2022,27.85
6/29/2022,30.66
6/22/2022,18.86
6/15/2022,32.18
6/8/2022,50
6/1/2022,34.33
5/25/2022,33.19
5/18/2022,19.51
5/11/2022,24.31
5/4/2022,31.76
4/27/2022,46.25
4/20/2022,74.05
4/13/2022,63.29
4/6/2022,83.41
3/30/2022,79.72
3/23/2022,52.69
3/16/2022,46.68
3/9/2022,42.58
3/2/2022,30.3
2/23/2022,44.41
2/16/2022,53.49
2/9/2022,66.8
2/2/2022,62.54
1/26/2022,53.39
1/19/2022,56.73
1/12/2022,74.78
1/5/2022,89.54
12/29/2021,85.71
12/22/2021,67.02
12/15/2021,52.22
12/8/2021,69.46
12/1/2021,87.87
11/24/2021,103.14
11/17/2021,102.54
11/10/2021,103.69
11/3/2021,107.99
10/27/2021,103.35
10/20/2021,98.02
10/13/2021,64.46
10/6/2021,68.6
9/29/2021,55.02
9/22/2021,77.7
9/15/2021,87.02
9/8/2021,84.68
9/1/2021,93.95
8/25/2021,92.83
8/18/2021,70.57
8/11/2021,97.55
8/4/2021,97.72
7/28/2021,78.39
7/21/2021,71.04
7/14/2021,93.27
7/7/2021,82.54
6/30/2021,91.72
6/23/2021,70.86
6/16/2021,98.52
6/9/2021,79.65
6/2/2021,82.27
5/26/2021,68.3
5/19/2021,44.21
5/12/2021,46.86
5/5/2021,87.79
4/28/2021,103.72
4/21/2021,95.6
4/14/2021,96.57
4/7/2021,89.95
3/31/2021,52.02
3/24/2021,57.52
3/17/2021,78.55
3/10/2021,48.62
3/3/2021,65.37
2/24/2021,84.99
2/17/2021,108.32
